[ 2025-12-16 06:49:33 | node_47 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_46', 'node_48']
[ 2025-12-16 06:49:33 | node_46 | INFO ] 🧩 Model added (2/2) from ['node_47']
[ 2025-12-16 06:49:33 | node_48 | INFO ] 🧩 Model added (3/3) from ['node_47']
[ 2025-12-16 06:49:33 | node_48 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:33 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:33 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:33 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:33 | node_2 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:33 | node | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:33 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:33 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:33 | node_5 | INFO ] 📤 Sending model to 2 direct neighbors: ['node_4', 'node_6']
[ 2025-12-16 06:49:33 | node_49 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 06:49:33 | node_49 | INFO ] 🎉 Round 61 of 100 finished.
[ 2025-12-16 06:49:33 | node_49 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 06:49:33 | node_4 | INFO ] 🧩 Model added (3/3) from ['node_5']
[ 2025-12-16 06:49:33 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:33 | node_6 | INFO ] 🧩 Model added (2/2) from ['node_5']
[ 2025-12-16 06:49:34 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 06:49:34 | node_46 | INFO ] 📤 Sending model to 1 direct neighbors: ['node_47']
[ 2025-12-16 06:49:34 | node_47 | INFO ] 🧩 Model added (3/3) from ['node_46']
[ 2025-12-16 06:49:34 | node_47 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:34 | node_46 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 06:49:34 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
