[ 2025-12-19 01:21:58 | node_14 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_27 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:59 | node_13 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:59 | node_26 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_4 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_13', 'node_14', 'node_5'}
[ 2025-12-19 01:22:00 | node_5 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_13 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_14 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:00 | node_7 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_8 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_24 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_20 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_12 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_16 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_29 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_10 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_15 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_26 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_21 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_28 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_18 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_20', 'node_29'}
[ 2025-12-19 01:22:04 | node_20 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_29 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:04 | node_5 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_13 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_14 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_8 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_22 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_24 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_21 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_27 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_7 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_15 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_10 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_12 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_16 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_18 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:05 | node_26 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_23 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_8', 'node_24', 'node_22'}
[ 2025-12-19 01:22:20 | node_8 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_22 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_24 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:20 | node_5 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_16 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_21 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_28 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_12 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:20 | node_26 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:21 | node_20 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:21 | node_29 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:21 | node_7 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:21 | node_13 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:21 | node_15 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:22 | node_18 | ERROR ] Models ready from node_23 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_1 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_7', 'node_8', 'node_24'}
[ 2025-12-19 01:22:23 | node_7 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_8 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_24 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:23 | node_5 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_13 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_14 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_10 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_15 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_26 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_12 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_16 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_21 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_28 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_18 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_20 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:23 | node_29 | ERROR ] Models ready from node_1 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:25 | node_13 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_4'}
[ 2025-12-19 01:22:25 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:28 | node_2 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_28', 'node_21', 'node_16', 'node_5'}
[ 2025-12-19 01:22:28 | node_5 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:28 | node_16 | ERROR ] Models ready from node_2 in a late round. Ignored. 99 != 98 / 97
