[ 2025-12-14 14:34:22 | node_36 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_31 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 163.18801879882812, 'test_acc\n': 0.7900000214576721, 'test_precision\n': 0.8230299353599548, 'test_recall\n': 0.7582240104675293, 'test_f1\n': 0.7439631819725037}
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_31 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🎉 Round 183 of 200 finished.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🚂 Train set of 1 nodes: ['node_22']
[ 2025-12-14 14:34:22 | node_31 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🚂 Train set of 1 nodes: ['node_36']
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🧩 Model added (1/1) from ['node_11']
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_41 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 35.172794342041016, 'test_acc\n': 0.8899999856948853, 'test_precision\n': 0.8861895799636841, 'test_recall\n': 0.8892473578453064, 'test_f1\n': 0.8831057548522949}
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:22 | node_41 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_41 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_14 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 288.70074462890625, 'test_acc\n': 0.75, 'test_precision\n': 0.8398544192314148, 'test_recall\n': 0.7345585823059082, 'test_f1\n': 0.7356103658676147}
[ 2025-12-14 14:34:22 | node_28 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 102.33055877685547, 'test_acc\n': 0.8349999785423279, 'test_precision\n': 0.8737733364105225, 'test_recall\n': 0.8251124024391174, 'test_f1\n': 0.8228399753570557}
[ 2025-12-14 14:34:22 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_28 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_14 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_28 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🎉 Round 185 of 200 finished.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🚂 Train set of 1 nodes: ['node_11']
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🧩 Model added (1/1) from ['node_16']
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🎉 Round 182 of 200 finished.
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🚂 Train set of 1 nodes: ['node_16']
[ 2025-12-14 14:34:23 | node_16 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:23 | node_33 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 169.61962890625, 'test_acc\n': 0.7099999785423279, 'test_precision\n': 0.8952419757843018, 'test_recall\n': 0.7250006198883057, 'test_f1\n': 0.7371761798858643}
[ 2025-12-14 14:34:23 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:23 | node_33 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:23 | node_12 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 114.93634796142578, 'test_acc\n': 0.8299999833106995, 'test_precision\n': 0.8700689673423767, 'test_recall\n': 0.8499565124511719, 'test_f1\n': 0.8235360980033875}
[ 2025-12-14 14:34:23 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:23 | node_12 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:23 | node_20 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 81.02992248535156, 'test_acc\n': 0.8399999737739563, 'test_precision\n': 0.8558908700942993, 'test_recall\n': 0.823925793170929, 'test_f1\n': 0.8238120079040527}
[ 2025-12-14 14:34:23 | node_20 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:23 | node_20 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🧩 Model added (1/1) from ['node_19']
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🎉 Round 186 of 200 finished.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🚂 Train set of 1 nodes: ['node_19']
[ 2025-12-14 14:34:23 | node_19 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🧩 Model added (1/1) from ['node_2']
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🎉 Round 186 of 200 finished.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:23 | node_13 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:23 | node_13 | INFO ] 🧩 Model added (1/1) from ['node_13']
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🚂 Train set of 1 nodes: ['node_2']
[ 2025-12-14 14:34:23 | node_13 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_13 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:23 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:23 | node_7 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:23 | node_7 | INFO ] 🧩 Model added (1/1) from ['node_7']
[ 2025-12-14 14:34:23 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:23 | node_7 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:24 | node_13 | INFO ] 🎉 Round 196 of 200 finished.
[ 2025-12-14 14:34:24 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
