[ 2025-12-15 16:08:32 | node_1 | INFO ] 🧩 Model added (8/9) from ['node_47']
[ 2025-12-15 16:08:32 | node_46 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_1 | INFO ] 🧩 Model added (9/9) from ['node_48']
[ 2025-12-15 16:08:32 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_47 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_3 | INFO ] 🧩 Model added (8/8) from ['node_49']
[ 2025-12-15 16:08:32 | node_2 | INFO ] 🧩 Model added (9/9) from ['node_48']
[ 2025-12-15 16:08:32 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_49 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_48 | INFO ] 🧠 Aggregating models.
[ 2025-12-15 16:08:32 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:32 | node_48 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:32 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:33 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-15 16:08:33 | node_49 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_2 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_48 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_49 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_48 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_49 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_6 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_5 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_4 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_46 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_46 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node_46 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node_47 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_47 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:33 | node_47 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:33 | node | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:33 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-15 16:08:34 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:34 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-15 16:08:34 | node_3 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:34 | node_1 | INFO ] 🎉 Round 96 of 100 finished.
[ 2025-12-15 16:08:34 | node_3 | INFO ] 🗳️ Sending train set vote.
