[ 2025-12-19 11:30:58 | node_18 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_18 | INFO ] InMemoryServer stopped at node_18
[ 2025-12-19 11:30:58 | node_19 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_19 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_19 | INFO ] InMemoryServer stopped at node_19
[ 2025-12-19 11:30:58 | node_20 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_20 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_20 | INFO ] InMemoryServer stopped at node_20
[ 2025-12-19 11:30:58 | node_21 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_21 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_21 | INFO ] InMemoryServer stopped at node_21
[ 2025-12-19 11:30:58 | node_22 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_22 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_22 | INFO ] InMemoryServer stopped at node_22
[ 2025-12-19 11:30:58 | node_23 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_23 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_23 | INFO ] InMemoryServer stopped at node_23
[ 2025-12-19 11:30:58 | node_24 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_24 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_24 | INFO ] InMemoryServer stopped at node_24
[ 2025-12-19 11:30:58 | node_25 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_25 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_25 | INFO ] InMemoryServer stopped at node_25
[ 2025-12-19 11:30:58 | node_26 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_26 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_26 | INFO ] InMemoryServer stopped at node_26
[ 2025-12-19 11:30:58 | node_27 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_27 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_27 | INFO ] InMemoryServer stopped at node_27
[ 2025-12-19 11:30:58 | node_28 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_28 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_28 | INFO ] InMemoryServer stopped at node_28
[ 2025-12-19 11:30:58 | node_29 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_29 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_29 | INFO ] InMemoryServer stopped at node_29
