[ 2025-12-19 16:56:14 | node_29 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:14 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_4 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_20 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:14 | node_23 | ERROR ] Vote received in a late round. Ignored. 94 != 99 / 100
[ 2025-12-19 16:56:15 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:15 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:15 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:15 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:15 | node_9 | ERROR ] Models ready from node_14 in a late round. Ignored. 71 != 99 / 98
[ 2025-12-19 16:56:15 | node_26 | ERROR ] Models ready from node_14 in a late round. Ignored. 71 != 99 / 98
[ 2025-12-19 16:56:15 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_9 | ERROR ] Models ready from node_27 in a late round. Ignored. 71 != 99 / 98
[ 2025-12-19 16:56:16 | node_26 | ERROR ] Models ready from node_27 in a late round. Ignored. 71 != 99 / 98
[ 2025-12-19 16:56:16 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_9 | ERROR ] Models ready from node_25 in a late round. Ignored. 71 != 99 / 98
[ 2025-12-19 16:56:16 | node_26 | ERROR ] Models ready from node_25 in a late round. Ignored. 71 != 99 / 98
[ 2025-12-19 16:56:16 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_29 | ERROR ] Models ready from node_15 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:16 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_9 | ERROR ] Models ready from node_15 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:16 | node_4 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_26 | ERROR ] Models ready from node_15 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:16 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_20 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:16 | node_23 | ERROR ] Models ready from node_15 in a late round. Ignored. 93 != 99 / 98
[ 2025-12-19 16:56:16 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:16 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:16 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:16 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:16 | node_9 | ERROR ] Vote received in a late round. Ignored. 72 != 99 / 100
[ 2025-12-19 16:56:16 | node_26 | ERROR ] Vote received in a late round. Ignored. 72 != 99 / 100
[ 2025-12-19 16:56:16 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:16 | node_16 | WARNING ] Models ready received when learning is not running
