[ 2025-12-19 08:58:19 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:19 | node_8 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:19 | node_17 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:19 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:20 | node_2 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:20 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:20 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_10 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_20 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_22 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:20 | node_4 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:20 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:20 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_14 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-19 08:58:20 | node_17 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:58:20 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:58:20 | node_1 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_6 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_11 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_20 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_6 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_11 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:20 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:20 | node_23 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_5 | ERROR ] Models ready from node_3 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:21 | node_5 | ERROR ] Models ready from node_1 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:58:21 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_26 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_26 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:58:21 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
