[ 2025-12-14 06:42:42 | node_15 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 85.65499877929688, 'test_acc\n': 0.7450000047683716, 'test_precision\n': 0.7930932641029358, 'test_recall\n': 0.7072140574455261, 'test_f1\n': 0.6982468962669373}
[ 2025-12-14 06:42:42 | node_15 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:42 | node_15 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🚂 Train set of 1 nodes: ['node_28']
[ 2025-12-14 06:42:43 | node_28 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:43 | node_30 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 59.863525390625, 'test_acc\n': 0.7799999713897705, 'test_precision\n': 0.77776038646698, 'test_recall\n': 0.768749475479126, 'test_f1\n': 0.7445385456085205}
[ 2025-12-14 06:42:43 | node_30 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:43 | node_30 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🧩 Model added (1/1) from ['node_7']
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:43 | node_7 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:43 | node_45 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 133.0360870361328, 'test_acc\n': 0.625, 'test_precision\n': 0.6807054281234741, 'test_recall\n': 0.6346880197525024, 'test_f1\n': 0.5895380973815918}
