[ 2025-12-17 01:12:25 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:25 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:27 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:29 | node_46 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_47', 'node_48', 'node_49', 'node']
[ 2025-12-17 01:12:31 | node_6 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:12:31 | node_6 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:12:31 | node_6 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_49', 'node_2', 'node_48', 'node_4', 'node_5', 'node_6', 'node_47', 'node', 'node_46', 'node_3']
[ 2025-12-17 01:12:31 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:12:32 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.43318793177604675, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9678038954734802, 'test_recall\n': 0.9595867991447449, 'test_f1\n': 0.961195707321167}
[ 2025-12-17 01:12:32 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:12:32 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:12:32 | node_6 | INFO ] 🎓 Training done.
[ 2025-12-17 01:12:32 | node_6 | INFO ] 🧩 Model added (1/5) from ['node_6']
[ 2025-12-17 01:12:35 | node_48 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:35 | node_48 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:35 | node_48 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:12:35 | node_47 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:12:35 | node_47 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:12:35 | node_47 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_2', 'node_49', 'node_48', 'node_4', 'node_47', 'node', 'node_6', 'node_5', 'node_46', 'node_3']
[ 2025-12-17 01:12:35 | node_47 | INFO ] 🧩 Model added (1/6) from ['node_46']
[ 2025-12-17 01:12:35 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:35 | node_47 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:12:35 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:36 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:36 | node_47 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7137952446937561, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.9674800038337708, 'test_recall\n': 0.9654666185379028, 'test_f1\n': 0.9655663967132568}
[ 2025-12-17 01:12:36 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:12:36 | node_47 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:12:36 | node_47 | INFO ] 🎓 Training done.
[ 2025-12-17 01:12:36 | node_47 | INFO ] 🧩 Model added (2/6) from ['node_47']
[ 2025-12-17 01:12:37 | node_4 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:37 | node_4 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:37 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:12:37 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:37 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:37 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:37 | node_6 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_2', 'node_3', 'node_4', 'node_5']
[ 2025-12-17 01:12:37 | node_3 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:37 | node_3 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:37 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:12:37 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:37 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:37 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:38 | node_49 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:38 | node_49 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:38 | node_49 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:12:38 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:38 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:38 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:41 | node_47 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_46', 'node_48', 'node_49', 'node', 'node_1']
[ 2025-12-17 01:12:41 | node_46 | INFO ] 🧩 Model added (2/5) from ['node_47']
[ 2025-12-17 01:12:57 | node_5 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_48', 'node_2', 'node_49', 'node_47', 'node_5', 'node', 'node_4', 'node_6', 'node_46', 'node_3']
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🧩 Model added (1/6) from ['node_6']
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:12:57 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.18033118546009064, 'test_acc\n': 0.9850000143051147, 'test_precision\n': 0.9819242358207703, 'test_recall\n': 0.9848484992980957, 'test_f1\n': 0.9823480248451233}
[ 2025-12-17 01:12:57 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🎓 Training done.
[ 2025-12-17 01:12:57 | node_5 | INFO ] 🧩 Model added (2/6) from ['node_5']
[ 2025-12-17 01:13:02 | node_5 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4', 'node_6']
[ 2025-12-17 01:13:02 | node_6 | INFO ] 🧩 Model added (2/5) from ['node_5']
[ 2025-12-17 01:13:06 | node_48 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:13:06 | node_48 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:13:06 | node_48 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_48', 'node_2', 'node_49', 'node_47', 'node_5', 'node', 'node_4', 'node_6', 'node_46', 'node_3']
[ 2025-12-17 01:13:06 | node_48 | INFO ] 🧩 Model added (1/7) from ['node_47']
[ 2025-12-17 01:13:06 | node_48 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:13:06 | node_48 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7935307025909424, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.962287425994873, 'test_recall\n': 0.9615693688392639, 'test_f1\n': 0.9598727226257324}
[ 2025-12-17 01:13:06 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:13:06 | node_48 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:13:07 | node_48 | INFO ] 🎓 Training done.
[ 2025-12-17 01:13:07 | node_48 | INFO ] 🧩 Model added (2/7) from ['node_48']
[ 2025-12-17 01:13:08 | node_3 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:13:08 | node_49 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_48', 'node_2', 'node_49', 'node_47', 'node_5', 'node', 'node_4', 'node_6', 'node_46', 'node_3']
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_48', 'node_2', 'node_49', 'node_47', 'node_5', 'node', 'node_4', 'node_6', 'node_46', 'node_3']
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🧩 Model added (1/8) from ['node_47']
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🧩 Model added (1/8) from ['node_5']
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:13:08 | node_4 | INFO ] Timeout for vote aggregation. Missing votes from {'node', 'node_1', 'node_2'}
[ 2025-12-17 01:13:08 | node_4 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-17 01:13:08 | node_4 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_48', 'node_2', 'node_49', 'node_47', 'node_5', 'node', 'node_4', 'node_6', 'node_46', 'node_3']
[ 2025-12-17 01:13:08 | node_49 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7310714721679688, 'test_acc\n': 0.9449999928474426, 'test_precision\n': 0.9520828127861023, 'test_recall\n': 0.9558047652244568, 'test_f1\n': 0.9526416659355164}
[ 2025-12-17 01:13:08 | node_4 | INFO ] 🧩 Model added (1/7) from ['node_6']
[ 2025-12-17 01:13:08 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:13:08 | node_4 | INFO ] 🧩 Model added (2/7) from ['node_5']
[ 2025-12-17 01:13:08 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:13:08 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6750965714454651, 'test_acc\n': 0.9300000071525574, 'test_precision\n': 0.9335688948631287, 'test_recall\n': 0.9308196902275085, 'test_f1\n': 0.9276103377342224}
[ 2025-12-17 01:13:08 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🎓 Training done.
[ 2025-12-17 01:13:08 | node_49 | INFO ] 🧩 Model added (2/8) from ['node_49']
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-17 01:13:08 | node_3 | INFO ] 🧩 Model added (2/8) from ['node_3']
[ 2025-12-17 01:13:08 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6018401384353638, 'test_acc\n': 0.9750000238418579, 'test_precision\n': 0.9747000336647034, 'test_recall\n': 0.9745110869407654, 'test_f1\n': 0.9739956855773926}
[ 2025-12-17 01:13:08 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 01:13:08 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 01:13:09 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-17 01:13:09 | node_4 | INFO ] 🧩 Model added (3/7) from ['node_4']
[ 2025-12-17 01:13:12 | node_48 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_46', 'node_47', 'node_49', 'node', 'node_1', 'node_2']
[ 2025-12-17 01:13:12 | node_46 | INFO ] 🧩 Model added (3/5) from ['node_48']
[ 2025-12-17 01:13:12 | node_47 | INFO ] 🧩 Model added (3/6) from ['node_48']
[ 2025-12-17 01:13:12 | node_49 | INFO ] 🧩 Model added (3/8) from ['node_48']
[ 2025-12-17 01:13:13 | node_49 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_46', 'node_47', 'node_48', 'node', 'node_1', 'node_2', 'node_3']
[ 2025-12-17 01:13:13 | node_3 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_1', 'node_2', 'node_4', 'node_5', 'node_6', 'node_49']
[ 2025-12-17 01:13:13 | node_46 | INFO ] 🧩 Model added (4/5) from ['node_49']
